"","x"
"기름지지않고",-24.9270129659113
"다대기를",-22.5772040687843
"학생들이",-22.5087290917204
"동료들에게",-21.4288261269995
"과일맛은커녕",-20.98351409955
"떨어지는듯",-20.9713672393829
"최고였는데",-20.8373016782408
"진리임",-20.8319000709253
"너무늦게나오고",-20.7821927361004
"고민입니다",-20.0459384010491
"능이버섯이",-19.8341430990567
"안해줌",-19.0630696184472
"인성도",-18.8900483259378
"거의남기고",-18.6007595699916
"너무없음",-18.0849185125133
"국물밖에",-17.7241751012563
"며칠전에",-17.6757490913443
"친절한집",-17.6090535788148
"맛이이상함",-17.585727618987
"darkhyde",-17.5539314489911
"긁어내고",-17.5091527657573
"광고던지",-17.5086672196208
"고기양도",-17.4146043326313
"감동의맛이야아",-17.4054459350436
"깔끔하지도",-17.3614540643528
"같아서요",-17.3363850623525
"가볍게",-17.163001131877
"깻잎장",-17.1436908086754
"가봤어요",-17.0614405121904
"고소함은",-17.0493809910365
"가고싶지",-17.0088828182437
"맛은그냥",-16.8489056968902
"달지않으면서",-16.7300813155575
"관리감독자",-16.6838209592423
"검색하고",-16.6578245963061
"꼬치보단",-16.4203226558135
"msg맛이",-16.2685581345005
"다잡침",-15.7083931915546
"고깃조각",-15.7030159394058
"쭈꾸미가",-15.4200476194464
"가장기본인것을",-15.1306546669297
"그렇게보면",-15.1236728059495
"간다면",-14.9847406171227
"가는거같았습니다",-14.9831508380094
"고기양",-14.9695412020739
"끼어있는",-14.9351345912379
"갔을때",-14.801562747834
"갑인듯",-14.6856045273818
"갑질하는",-14.6633443824925
"가고싶지도",-14.5826211642652
"글남겨요",-14.5734409871001
"가관에다가",-14.5640817272686
"값으로",-14.5513064223133
"가시길",-14.5433366861946
"간짜장시켰는데",-14.5429389992776
"가격보고",-14.5274976013934
"가고싶지않네요",-14.5153532583819
"감천점",-14.5141767413964
"깔끔한맛의",-14.5115489150053
"군시렁군시렁",-14.5024685559395
"깔끔하구요",-14.4553737031789
"강하더군요",-14.4340493275938
"그랬구요",-14.4275691882849
"가봤는데괜찮더라구요",-14.4268170018685
"가격보다",-14.3949640486137
"가냐고",-14.3779364551846
"갖고가더니알바생들끼리",-14.3761360036353
"가능하냐고",-14.3727102826239
"가끔씩",-14.3714456706065
"나오는거",-14.3658740335611
"갓더니",-14.357656397981
"맛나지만",-14.3523654801457
"값이라네요",-14.3497382122164
"짬뽕과",-14.345940392266
"가까운곳",-14.3429683087768
"가관이네요",-14.3266985050097
"쫙빠진",-14.3250421175539
"가성비생각했을때",-14.3131069443636
"가던곳이",-14.3121583430561
"가관이네",-14.2990517972783
"가던데",-14.2850376334366
"가관이시던데",-14.2839366561077
"갈비찜이",-14.2823945687326
"감자쿠폰은",-14.2788109926511
"가니까",-14.2692758580759
"갓살됐다고",-14.2656165342564
"검색해보고",-14.2593036230925
"갖고왔더군요",-14.2583838994709
"감사드리구요",-14.2571810861777
"단골손님중",-14.2510026404038
"괜찮았고",-14.2409274230093
"감자는",-14.2235922182156
"공기밥을주더군요",-14.218572734439
"무표정으로",-14.2167799867655
"가격이었지만",-14.2163614016776
"갈치구이는",-14.2126922107043
"가까운데",-14.2099910988317
"갖다달라해도",-14.2097367082688
"등산가따오면서",-14.2070244970271
"강추입니다",-14.1973695164047
"가라고함",-14.1967473555234
"갈비탕에",-14.1887842171208
"그냥그냥이더니",-14.187632224893
"가득가득했다눈",-14.1869852487679
"꼬막완전비리고",-14.1861935598251
"가라구",-14.1830207193756
"깡패아저씨들이",-14.1830196796142
"가는게",-14.1826145619999
"같다혼자",-14.1690923695896
"가격만",-14.1581101053149
"또뭔지암튼",-14.1567198456087
"가격이비싸면",-14.1489052140245
"가져다달라니까",-14.147163427339
"고칠점이",-14.1366338173452
"막걸리집",-14.1361319870957
"너무뭐라하셔서",-14.1325980628267
"갈집은",-14.1271647551197
"떡볶이와",-14.119313458987
"고기를",-14.1137351685848
"뜨내기",-14.1125823072357
"도배되있었고",-14.1083974405773
"가격대에",-14.098182274122
"가격으로",-14.0926417161745
"굽히고",-14.0919115028693
"맛도짱",-14.0860340741352
"가라네요",-14.0830088568095
"궁금하네여",-14.0770009107979
"꼬라지",-14.0721702126149
"느낌니다",-14.0684847723836
"되어가는데",-14.0661434209454
"갈아주시는",-14.066026223834
"담아오는데",-14.0606661206063
"국물만",-14.0591243115092
"낚시대대에서",-14.0566818369144
"가져오지",-14.0563782231788
"골목의",-14.0554261014646
"넣어먹고있음",-14.0529705496692
"같더라고요",-14.0499401130005
"가장큰이유는",-14.0476981943662
"가라는",-14.0467038086445
"다른지점과",-14.0428460973034
"국물하며",-14.0417732929626
"망년회",-14.0399084903829
"가족들한테",-14.0342898115465
"가셔야한다면",-14.0316444014645
"들어갈수있다네요",-14.029301878088
"네이러고",-14.0273245486798
"괜찮지만요",-14.0229085287671
"갈수록",-14.0224832418796
"갈껀데",-14.0211851424254
"가세요가",-14.0197301444859
"가스렌지조차",-14.0083107951919
"군산여행중",-14.0063580483536
"가라앉아서",-14.0012908027292
"갈치에는",-14.0010782911278
"낚인거다",-14.0010547828179
"가정에서",-14.0003554331765
"깡패같아요",-13.9953208378562
"가려고하는데",-13.9854661212979
"게에서",-13.9837765031666
"똑바로운전해",-13.9779087470175
"가시는분",-13.975934846375
"들어감",-13.9728695236285
"대있다는데",-13.9714959853087
"고기먹으러왔는데",-13.9712217771273
"고쳐요",-13.9708901698811
"다른지",-13.9688914847264
"강요하시듯",-13.9645044913138
"너무드릅다는",-13.9644632209816
"과일도",-13.9627237128335
"간판불이라도",-13.9608521337816
"가지나",-13.9597530700479
"꿈쩍없음",-13.9547395165798
"간장하나가져다달래도줄생각도안하고",-13.9543958650359
"갓지은",-13.9534468745987
"남평에",-13.9530678327968
"돈만원이우습나",-13.9510140603547
"괜찮았는데레드는",-13.9486153543119
"나한테",-13.9484351171934
"끓어줌",-13.9449482008953
"다할수있는건가",-13.9423462700167
"곱창전골먹으러",-13.9408469377427
"곰팡이가",-13.9315991031282
"가야하는곳은",-13.9293319141357
"깊숙히도",-13.9266055096318
"꽝이네요",-13.918742852235
"곰팡이떡이냐고묻네요",-13.9156984647189
"갖다주네요",-13.9154714452004
"고기보리밥이공짜로",-13.9151866855398
"가락국수보다",-13.913609098589
"늦게온다고해서",-13.909157423152
"계산대에",-13.9076188824719
"돌려놓은건지",-13.9050626588152
"그거먹고싶어서",-13.9045395677695
"깡패도",-13.8994333001271
"갔었습니다",-13.8981564057253
"같았음",-13.8906332501563
"고기맛도",-13.8887198095592
"가게앞에",-13.8869877303973
"놔두고",-13.8846203476614
"달라하고",-13.8810370117182
"나아요",-13.8783809827708
"귀찮은듯이",-13.8764523264528
"괴롭게",-13.8759600338826
"든게없어그렇다쳐도옆에서",-13.8744306961928
"간장종지에",-13.8724237100112
"맘에안듬",-13.8701276537438
"닫았나요",-13.8685678614766
"고추도",-13.8632656868339
"가렵니다",-13.8620032008391
"가지는",-13.8610706411123
"또먹고싶음",-13.8598874487972
"갔을때일입니다",-13.858807146121
"교욱좀하세요",-13.8580395786731
"다뿔어서",-13.8569480455572
"끓을동안",-13.8560200083246
"간장소쓰로",-13.8533467347877
"그래요",-13.8523635253723
"갖다주는데",-13.8483634259836
"같아요그냥",-13.8469795259906
"맘편히",-13.8465200108742
"나보고하는말이",-13.8419382945854
"맛도짱이고",-13.8389215489743
"꽁치를",-13.8376916659119
"가지마삼",-13.8328780476505
"가정집에서남은재료로",-13.8284918005916
"고객입니다",-13.8271072763848
"계산금액",-13.8266005531115
"김밥과",-13.8245378552552
"시키시는분이있네",-13.8218557883538
"가버리네요",-13.8185415862589
"계란찜은",-13.8173195078258
"내려라",-13.8166467426695
"가보신다면",-13.8086991233841
"돈날렸어",-13.8028025217553
"갔다줌",-13.8017525685991
"담에시키란다",-13.8017211947199
"돈아깝구",-13.8004435054059
"고기비린내",-13.7983287147273
"말을하네요교육좀",-13.7968941185004
"끝판왕이시네요",-13.7942216753961
"돌아다니길래",-13.7941415428079
"따른테이블시킨음식제대로못찾아갔다노코",-13.794064059577
"가정집이라고",-13.7923680668001
"그럴려면",-13.7905359086223
"대답도안함",-13.7862181081559
"가게보다는",-13.7857107375485
"갔어요경주에",-13.7849112995749
"가격도비싸고",-13.7843746045326
"갈비찜무국",-13.7840197348669
"기프티콘으로주문한다고했더니",-13.782737993111
"가볼까",-13.7780382011693
"다못먹고나왔네요",-13.7620947123842
"감방쳐넣야되",-13.7554271166029
"고기도맛업고",-13.7528641203961
"귀회가",-13.7520482006947
"푸근한",-13.7505817006198
"권하시면서",-13.7445568356694
"내치즈",-13.7416250892584
"굿이에여",-13.7408564986919
"고기집온것중에",-13.7396125092689
"망해봐야",-13.7384848818016
"계속안받다가",-13.7378857845219
"남았습니다",-13.7311344710799
"달라하면",-13.7301265759859
"고추장에",-13.7289759343514
"남자가",-13.7286064133773
"간장을",-13.7285269200587
"갈데가",-13.7249327252689
"만든줄",-13.7248539944034
"갔지만",-13.7230520506295
"가족과",-13.7217178939624
"가게앞쓰레기며",-13.7188615491671
"다시시켰습니다",-13.710517752483
"나가든",-13.7097800182048
"구운닭이라더만피덩어리가",-13.7049468221833
"나쁘고",-13.7047093032391
"곧장하지않고",-13.7021187994624
"두시간기다렷는데",-13.6992110809281
"가만히있는",-13.6965613911602
"군산놈",-13.6963494440008
"맞을거",-13.6912722109186
"가식적인",-13.6902324923337
"배달하시는분이",-13.6879530102835
"남자가알바하는데",-13.6852504824286
"기름은",-13.6844627824424
"고객분들을",-13.6827640215497
"기본김밥이랑",-13.6802299952854
"달라고하면",-13.6800708643455
"나가라네요",-13.6766261198032
"관광지라고",-13.6716381887354
"다ㅇ있어",-13.6683312405379
"같은셈이죠",-13.6675688902862
"가게라서",-13.6666941252659
"그럽시다",-13.6665003642835
