"","x"
"간장맛과",25.1128869004427
"아들한테",23.0423425190277
"그보다",22.162603666594
"생각함",21.2751816310168
"감기는",19.8459368968219
"가게분위도",19.7425545076541
"있는건지",18.9345156211635
"가봐요",18.8508996281586
"가보시기를",17.8637425461743
"닭구이도",17.3754520277606
"갈비찜집",17.2713236061089
"개발하시면",17.1787761769064
"갈아탔는데",17.1677377442035
"갈매기살을",16.7112694918437
"감동했어요",16.6620339623806
"나오길레",16.2689620798184
"가게인지",16.2232868536112
"꿔바로우차우면",16.020578380898
"가족같은",15.5639794289582
"그런가유",15.4709393953194
"담근걸",15.4553057352597
"고추가들어가",15.4456832107669
"덩치큰알바생있는데",15.3881428656497
"가야겟어요",15.3669470967682
"가봐야겠어요",15.3272062353743
"정도였어요",15.2888926027826
"감동감동",15.1708128265633
"반여동의",15.0909878759715
"경치가",15.074473411318
"가게를",15.0591977369533
"가보지도",15.0113889638451
"매장보다",14.9425982607737
"갈릭슈바이학센",14.8798825727587
"분위기좋은",14.8613800903683
"써비스깨끗한분위기",14.8204790151425
"설명해주세요",14.7517848817756
"별룬데",14.7278672102313
"곳이었어요",14.6540436989486
"문어맛",14.6507334203156
"나쁘지않고",14.6211316730482
"광혜원에서",14.6159051337654
"갔는데도",14.6079172912197
"깔끔하더군요",14.5159574287177
"도착하여",14.5131618392462
"구워먹으니까",14.5125129677325
"나는게",14.420034765659
"간장치킨",14.3893815476433
"강남간다",14.3374018663431
"게부터",14.3245232951868
"떠들어서",14.3182341563501
"zzz",14.2670471307021
"갈리지요",14.2590421553197
"가고푸네요",14.258675839852
"개인취향에",14.2382943264238
"고기먹으러가기엔",14.2285902544381
"가족단위모임으로",14.2225367058581
"낙지찜",14.2049065423853
"냄새안나서",14.1947895100103
"맛잇는",14.1554968756064
"ㄴㅇㄹㄴㅇㄹㄴㅇㄹㅇㄴㄹ",14.1466644775776
"아줌마착하던뎅",14.0930516207882
"맛잇당",14.0924157857181
"乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃乃그냥짱",14.0833680574325
"개맛있다",14.080814552462
"웰빙음식",14.0642026261057
"숨어있는",14.0593639152549
"해달라고",14.0577699415497
"단체예약문의",14.0559674807257
"햄버거가너무맛있고서비스가너무좋았어요",14.0468562414022
"치즐링치킨맛있게먹었습니다감사합니다",14.0444510654868
"짱맛있고",14.0395518031165
"댓글중에",14.0377145361656
"정말마싰어요",14.0365957007108
"줄서서기다리는게아쉽지만그거빼곤매우만족",14.0294625575203
"반지이쁘게만들어주셔서감사해요친구들한테많이알릴게용",14.0254712772701
"저렴한주대와아늑한분위기에최고의써비스짱입니다용",14.0096257783247
"정말맛있어요한번먹어보세요",14.0020074033181
"끝내주는듯",13.9995512461461
"푸짐하니음식도많고무엇보다엄마가해준것처럼맛있어요",13.9992496720463
"가려고",13.9915835282362
"밥먹으로",13.9908572866303
"띄길래",13.9852103994239
"완전맛있음",13.981341664674
"음식맛있고주인분친절하시고엄청좋습니당",13.9803096445689
"서울에서간보람이있네요",13.9673071653485
"고딩쯤되보이네",13.9492050736487
"먹으먼",13.928238380925
"갠적으론",13.9280981272741
"받아주세요",13.9260834164351
"아주맛있어요",13.9091476408782
"아지트당첨",13.8966632006073
"김해에서",13.872587335636
"경주갈일이",13.8715117781894
"집근처에새로생겨서가봤는데",13.8428989497218
"고급스러움",13.8408778262822
"부담스럽지",13.8362699089442
"여자가먹기엔최고",13.827323641777
"개안아요",13.8250476615505
"동네에서",13.8185494613153
"생와사비맛을",13.8085588540115
"아무생각없이",13.7981932103679
"다시가고싶은",13.763267146517
"그러함",13.7576601358252
"지들끼리돌아가며댓글놀이하냐",13.7550540962714
"가지수제돈까스",13.7488740047374
"너무맛있습니다",13.7481629269674
"골목에서",13.7398442652064
"보신탕집",13.7394898323367
"것같아요",13.736101801678
"걱정이었는데",13.7298108008003
"굿하더라고요맛있게",13.7137614305577
"걸쭉한",13.6973500452604
"고블링마블링",13.680409638762
"강의도",13.6728640069697
"네네치킨중",13.6707967798674
"안하시나요",13.6679230236222
"맛있어요오오오오오오오오오오오오",13.6601889568993
"고기도고기지만",13.6579903045723
"주인장마음도좋고",13.6309013540117
"베리굿",13.629332705866
"맛있당",13.5773398563892
"불고기덮밥",13.5615186303046
"간장치킨내스탈요",13.5564394692072
"관식먹고옵니다",13.5466109120766
"김밥집중최고에요",13.5456045607761
"가족들이랑",13.5202512175277
"완전마싯오요",13.5201044056523
"경험하고",13.5158240294827
"됐을듯",13.5143069778439
