"","x"
"라씨가",-3.302075212516
"겨울엔",-2.61399405327832
"쫄깃쫄깃해",-2.25524255766125
"위치도",-1.87151992507446
"다시는",-1.7589510865143
"그나마",-1.6962383626453
"불친절",-1.69098493108744
"다른가계보다",-1.58710570524799
"괜찮은",-1.521315227853
"싸가지",-1.48757956830317
"가는게",-1.46322285614099
"주문할때",-1.45696050352661
"따라갑니다",-1.41690702058066
"가지마세요",-1.40403884676124
"나가라는것인지요",-1.4012531287056
"별로였어요",-1.38293548603408
"아까움",-1.3311135831925
"딱딱하고",-1.32533032914042
"맛있던데요",-1.29126693208459
"맛없음",-1.27353621595011
"돼지털나옴",-1.23046078810051
"차라리",-1.2101135075922
"맛잇더라구요",-1.19012066579817
"담겨서",-1.16389684907409
"꽁치를",-1.15985990258718
"아무리",-1.15370160314908
"비싸고",-1.13585577419903
"아까운",-1.12785999697049
"살다살다",-1.11474124413414
"짜증남",-1.09568007140232
"니지가",-1.06552809134425
"사람은",-1.06311260184145
"계산대앞에서",-1.05363935764861
"가보셔도",-1.04253016918665
"아깝다",-1.01482186758508
"마세요",-1.0115929805704
"불친절합니다",-0.999248252301572
"맛없는",-0.998588595149532
"넉넉함이",-0.98968761618172
"별루네요",-0.98855651890385
"별로네요",-0.978225761137608
"하나도",-0.974842464546032
"불친절하네요",-0.965226906974127
"아깝네요",-0.96281554845716
"기본코스",-0.951460503655642
"먹지마세요",-0.949829071302271
"실망이네요",-0.948944762906254
"돼지갈비가",-0.947319373812411
"검정색되가구",-0.945407367359288
"최악이네요",-0.942071615079178
"상태는",-0.937609412964783
"서비스는",-0.929832722955226
"불친절해서",-0.915968024135056
"글쎄요",-0.907925602864283
"장사가",-0.905546845414245
"불친절하고",-0.900471156853128
"물밀면",-0.873512145409607
"기분만",-0.856594470956724
"너무나도",-0.851025330193501
"주세요",-0.849796474809127
"마요네즈",-0.842724088369932
"나왔네요",-0.837020982519997
"어처구니",-0.823173610406818
"들어가게",-0.818611498524752
"서빙하는",-0.817025843079465
"씹혀서",-0.813937754297251
"직원도",-0.809718116534791
"비추입니다",-0.808360355648301
"쓰레기",-0.804768414113207
"이래서",-0.788816359650876
"시키면서",-0.785237264896847
"안되네요",-0.773012204803216
"갔더니",-0.762891030990468
"별한개도",-0.76012570044366
"기분을",-0.751108695228233
"두번다시",-0.744183308927815
"드러워서",-0.74354289476934
"한다는",-0.7337063784186
"계산동",-0.728079889694717
"전화받는",-0.72593132790316
"생각도",-0.706755195450459
"둘째치고",-0.705322057656811
"너무짜요",-0.705188282424216
"찾아가서",-0.704947607007679
"같이나오는",-0.69943509908473
"아까웠어요",-0.696662947072158
"더러워",-0.695805248395796
"튀김옷",-0.688612752570969
"찍어서",-0.688607850860125
"진짜맛없어요",-0.688601188944514
"진동하네요",-0.688599678040576
"새벽에",-0.688421748181027
"기분나쁩니다",-0.688342680719534
"괜찮은데",-0.688316914124906
"표정도",-0.68448353621702
"안주고",-0.672795730009587
"계산할때",-0.67199347050948
"말라있고",-0.664397688299932
"최악의",-0.659292737702932
"카드결제한다니까",-0.643279262005783
"어쩔수",-0.636284914656911
"불친절해요",-0.633933982309689
"전화했더니",-0.627622727164122
"이었습니다",-0.625692062433795
"사장이",-0.623480083138956
"안되는",-0.623193320259602
"했더니",-0.621972477737082
"쌩까고",-0.62008903965777
"알바생이",-0.613528300585375
"무표정에",-0.611494828350251
"그런가",-0.601625430931729
"불쾌하네요",-0.588811179147479
"시키세요",-0.58619917446181
"같던데",-0.582760134862019
"임산부를",-0.572197519575541
"시켰는데",-0.557972846132442
"도시락이었습니다",-0.554738990340127
"말했더니",-0.546957334971562
"테이블",-0.542635646855113
"있는데",-0.539491654991115
"한그릇은",-0.536706199953851
"왜그리",-0.536372684853671
"말투도",-0.528584974263501
"한개도",-0.520386350499541
